,sampleid,peak_ZT_author_declared,peak_ZT_tep_reevaluated,peak_ZT_smallT_tep_reevaluated,peak_ZT_smallT_author_declared,avg dZT on T of ZT,avg dZT on T of TEP,avg dZT on T of smallT,rms dZT on T of ZT,rms dZT on T of TEP,avg dZT/ZT on T of ZT,avg dZT/ZT on T of TEP,rms dZT/ZT on T of ZT,rms dZT/ZT on T of TEP
190,207,1.3425496695401724,1.3339760951528568,1.3212125164218391,1.3425496695401724,0.01704678278911577,0.017032988251369705,0.01704678278911577,0.022982560032975795,0.022921484519111968,0.01846476755468746,0.018398131182799857,0.02319905404554255,0.023113432982972946
191,208,1.2547514977662175,1.158664368442886,1.153784600128942,1.2547514977662175,0.0499025696902544,0.04999267980079186,0.0499025696902544,0.0568153583232804,0.05712916362947504,0.06325772254016343,0.06318551792759297,0.0646701664225627,0.06469053478644358
192,209,0.3851206313039622,0.3888298414839283,0.3842890281471481,0.3851206313039622,0.0013258236534018206,0.0013005517437001083,0.0013258236534018206,0.0029357306471783236,0.0029171507792835165,0.0068292294378059755,0.0067192418837561,0.019940067254891065,0.019809225496708965
193,210,0.9419598755790868,0.9900790764788936,0.9733729402676428,0.9419598755790868,-0.11071055966799642,-0.10944748583636173,-0.11071055966799642,0.12313629511472197,0.12217550828684044,-0.19211693618990797,-0.1894710839329963,0.20563833452813393,0.20393234363461935
194,211,0.1701006485084299,0.2082498846254062,0.2082498846254062,0.1701006485084299,-0.019842861908702162,-0.020208747283575745,-0.019842861908702162,0.02575802430839489,0.026147696918310565,-0.11366485606002757,-0.11560520090335027,0.13862054295415438,0.14083816294208248
195,212,0.9452633980701858,0.9535035105156684,0.947423888197549,0.9452633980701858,-0.0002750298511148987,-0.0002985904184964722,-0.0002750298511148987,0.0010541582850087084,0.0010742654601962214,2.387668789036824e-05,-2.7813034681748968e-05,0.0023616498883192137,0.002366325370500026
196,213,1.1733385861078522,1.1605444651411525,1.1605444651411525,1.1733385861078522,0.028653014845082824,0.02841338838804287,0.028653014845082824,0.034539443577343405,0.03437224469182217,0.048543839605096416,0.04827683623804197,0.06051589648918427,0.060255472548117285
197,214,0.11332472146628,0.1149275138260165,0.1149275138260165,0.11332472146628,-0.0004198528770419916,-0.0004126489388889271,-0.0004198528770419916,0.0008000139168313044,0.0007953446883655629,-0.0060224171680379555,-0.005852887961227197,0.009911465146504825,0.009889195101777154
198,215,0.6838317158847343,0.6911296941319565,0.6911296941319565,0.6838317158847343,0.01304614673680013,0.012955312315239421,0.01304614673680013,0.015064583012064288,0.01499193641664009,0.05308510235522642,0.05304676196978189,0.06734340739739467,0.06717982403524539
199,216,0.1007688880249994,0.1007269514787879,0.1007269514787879,0.1007688880249994,-5.992907437191914e-05,-1.3817882665618554e-05,-5.992907437191914e-05,0.0005309187741767628,0.0006443272106361439,-0.0022519630379552033,0.0007441181406205068,0.009188067306605515,0.02656318169183257
200,217,0.7165140824308662,0.7048717582680459,0.6973737386339519,0.7165140824308662,0.004016662125949547,0.004107867481266379,0.004016662125949547,0.00801639602034782,0.008156119282306182,0.0051655942304075445,0.005222886436563162,0.014913328031171454,0.015043792977845697
201,218,0.9731100631212362,0.9647043138600008,0.9647043138600008,0.9731100631212362,0.0033929092619560132,0.0033658221942876594,0.0033929092619560132,0.005589583250943041,0.005562700426813463,0.006499361182684384,0.006473484715946257,0.009186077915307614,0.009149179500674459
202,219,0.9175546791854342,0.9236462320826252,0.9236462320826252,0.9175546791854342,-0.0005398844846322682,-0.0004763508209809353,-0.0005398844846322682,0.006364027839611557,0.006358758334428709,0.001656228992532377,0.00187268831567721,0.014349202629920144,0.014466185646850517
203,220,0.7762368121442123,0.7791246253385243,0.7696057898191712,0.7762368121442123,-0.12180706833626187,-0.12035594026353881,-0.12180706833626187,0.1658829330443814,0.1644387554615676,-0.2212970167764798,-0.22086602784977702,0.3017103121149121,0.3014278774441203
204,221,1.295300789042151,1.3112903190486005,1.3071362701263771,1.295300789042151,-0.005120555620120966,-0.005054768781882914,-0.005120555620120966,0.0298007483713558,0.029456516714712076,-0.006147915336817356,-0.005915768548610633,0.031250620003356794,0.030914213807518673
205,222,0.9555500997083908,0.9671835731362916,0.9671835731362916,0.9555500997083908,-0.001458745551012836,-0.00145014206950556,-0.001458745551012836,0.004130268328134469,0.004108122784704112,-0.0007020022631518562,-0.0007226285674185839,0.00544005256173355,0.00541683039474619
206,223,0.8985458817263389,0.9059132737594734,0.9015914548988878,0.8985458817263389,0.004699879860918924,0.004626130729203678,0.004699879860918924,0.012647552824536655,0.01259480061255257,0.01914867881113576,0.018941498347405265,0.0332153992117955,0.03306745927006637
207,224,0.8784726295210162,0.8782165530737592,0.8782165530737592,0.8784726295210162,-0.01870277826824391,-0.018424557504376087,-0.01870277826824391,0.020210944399616047,0.02005744962736454,-0.03736657831523537,-0.03723235878686159,0.04124669461931248,0.041360650409427255
208,225,1.0493299617831435,1.1047435093577822,1.1047435093577822,1.047126467561578,0.014447518512385207,0.018647140633983286,0.018072130137079645,0.035935883601066566,0.03413499994301328,0.04125775840470405,0.04801369038158177,0.08238193845201214,0.08717312068238706
209,226,1.2158257008048787,1.228298803887225,1.228298803887225,1.199472661670826,-0.007581048166749075,0.011754797016327841,-0.004301272652894217,0.01699024511467847,0.04313854202058737,-0.007135893783572318,0.02287281373334517,0.015495458415170306,0.07617474120694971
210,227,1.8994664097838831,1.7976484681157328,1.7976484681157328,1.8916296699614668,0.022551889894351217,0.02144785558970056,0.02152741274939708,0.03240516755366095,0.030282280386089194,0.015685911738917306,0.015254274012989235,0.019723906651536362,0.01880225256069752
